Country_code_A3;Name;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
BIH;Bosnia and Herzegovina;3535,07531168775;3391,91028973056;3005,05981513895;2984,21606164;2433,71740850761;2183,9383975183;2059,31703928786;2579,5461177663;2959,14264446806;3089,3745170955;3234,55045637676;3147,31980862787;3163,32752871401;3297,3568963946;3459,69596921654;3586,83562181767;3876,99530940608;3837,59230471859;3807,43859121101;3989,99481851887;4006,08339440828;4244,72537184111;4111,94876405897;4252,66004555862;4199,67616674798;4174,52755278817;4362,80047522899;4428,09946624174;4418,79888379425
BLR;Belarus;46296,9568373244;45080,1987022521;72087,2733478586;68621,1603172439;64004,0895164063;61563,4507778575;60841,0710003668;60563,9470936178;60447,6701424836;59444,0171417534;58617,4369672611;55100,5270754879;54824,7521358987;54632,2571429356;55482,3284870502;55387,2798255183;55893,5124810342;56048,2991204809;59633,1839648906;59163,1779299458;60296,7725529641;64684,1178845122;65139,1284604041;64826,5127953068;65382,5583795889;64583,496611085;60578,5947913871;60300,4903629959;60245,7418729704
BLZ;Belize;6994,15751510245;6992,22007547857;7013,36752463945;6995,4789955825;6997,18660555053;6962,56206616003;6976,28545415732;6970,42500977916;7067,44736319497;7030,43446002094;7041,88582272409;3691,63295618971;3721,13804678738;3889,76201999329;3670,93421088521;3756,06145095864;3727,54304265498;3830,02430371281;3794,13966913297;3811,46804353944;3848,34375483409;6362,75432775009;6071,35257322871;6196,97509685316;6066,45672848339;6111,46064103082;5898,73321711877;5970,42192627016;5921,33244177398
BMU;Bermuda;72,5378658605711;65,4324006301175;59,4927991194551;60,4173676983173;60,1619141198576;61,3174165201546;62,69202028696;62,9297114457606;73,9133781175252;90,6835967230452;87,309566225524;88,2570797293346;84,5489052455754;88,0879023706523;91,2570469900566;93,2061298611827;94,6815900510943;106,598547250726;103,790826759511;92,3761657411447;101,754076475898;83,5540159592813;93,9084475556261;95,1574179152805;116,007181862893;98,2207792569254;120,96569631058;112,589915722969;109,953084411357
BOL;Bolivia;97604,2907516459;98367,093217874;98857,9468630475;99168,34161517;99968,664881261;99201,8017359497;100956,300879904;102315,898723569;102230,655385334;108239,538530829;100681,908784346;78709,7305360332;82256,9908300105;80034,1285775924;90213,6940045917;84694,762245432;86204,2825246537;90454,0878247854;85318,9618638734;84408,2609204663;101575,148198979;91742,3805326881;91634,8903832658;91133,0402326378;90522,7534398491;92613,7489108982;101444,159187162;100419,105876719;101511,864341645
BRA;Brazil;1857857,2203691;1880878,59403364;1898776,76359941;1915938,72506251;1940977,13235966;1963134,76863654;1955973,18285534;1968672,64130752;1984600,9634541;1985143,41825267;1983183,87696902;2221527,13680011;2253742,50256691;2292619,33326116;2317403,0279998;2325735,97985521;2319704,23315345;2327581,7289822;2329098,51898137;2332581,49835877;2373332,6250407;1553801,34702697;1557001,19609724;1570148,96547958;1585598,6116818;1598659,70506123;1475875,66743108;1478055,09057542;1465343,29193992
BRB;Barbados;305,363304407443;309,542798361435;315,434387220379;293,685922564936;292,713669221198;295,318603328688;292,147238411527;305,022897113445;333,786339462458;379,579250371902;376,280715009539;368,842849944473;345,062896367587;352,326622928317;354,74712693218;351,884925161393;329,966717863813;322,734170850292;351,628944930019;357,014189543853;343,206854093116;384,20898156213;390,338234356165;395,480363685312;367,140596340779;369,698375512337;380,312699951236;360,351745221666;355,908190634972
BRN;Brunei Darussalam;2382,43153521054;2415,13428539818;2414,22078679608;2458,29062581195;2510,75802975036;2558,75619609093;2363,01791532669;2631,90593343275;6855,85943812144;2423,41885542124;2540,75383388367;2721,46522328866;2557,21655968003;2780,96852868775;2579,89109394955;2611,23412509596;2724,70661243802;2723,04107286591;2941,88334845418;2890,1826666689;2838,04387450133;2030,50358188942;2085,43366515736;2059,12742649343;2150,44713730117;2019,7976226685;1954,86751498115;1935,9243443827;1947,68637634452
BTN;Bhutan;823,408734442454;839,905613211417;795,636249596409;785,366268840863;777,248488680097;852,710863173577;840,316197476006;831,726484423105;822,587332736365;855,244855692015;808,473934184652;739,527703980818;728,302200485227;737,338931603032;746,090396400613;844,957319898468;836,776604889391;865,465513761254;750,769951253889;807,977331974515;808,09044319487;826,320676854315;832,739061331722;821,839521968158;777,94351143647;775,000900507372;776,676608851887;770,652016646177;767,948523760311
BWA;Botswana;47175,9804523457;46318,841605647;45937,1641215198;45559,369727947;46019,8472794297;46933,2324981423;46396,6927373857;46470,1513101184;46802,8967869328;47098,6522286895;47222,560414697;47198,2182756571;46409,8058684054;46361,2914071184;46379,023220567;46566,5124853668;46632,9921317511;46635,2151389884;46840,9009952262;47148,0162535357;47519,757091556;47374,2054380914;46886,3784392625;46621,9943812321;45926,1748110992;46114,6213438308;45784,7126563924;45140,309972816;45838,0741074636
CAF;Central African Republic;33234,0129914148;33626,7050668019;33720,4044527634;33814,8992375388;34013,114749638;34218,5218954159;21125,7273967411;24157,9847510109;26838,849174258;25952,5151054083;25300,572520572;37265,6025080767;35464,8268188439;44459,9958979752;36336,9407414794;41786,5093456639;40831,8634970719;43255,6579049428;41882,5879363157;35958,1310089161;41309,220077904;43249,209241303;41446,6015146097;39076,5759120696;36744,5240991643;38567,6675346532;44276,432042913;41251,1614868976;40767,0522663582
CAN;Canada;243920,822870474;244474,155394046;248104,452359703;250443,601559554;252500,322002996;257996,813754174;262313,994006145;264470,276530913;265706,93204817;269395,026643848;271229,514679303;266112,059386365;267641,079635691;268721,279500375;271706,228210257;285335,901177073;286337,084856586;290614,219729;288027,865937826;282363,553643727;286196,075259395;272834,015928788;273861,14747579;277326,704438159;280077,200577042;281238,60635896;284676,616675313;285885,490048489;288906,156302148
CHE;Switzerland;12565,984310627;12581,5495288218;12103,4216270382;11992,2511013585;11973,3699908297;11673,0126607861;11572,7408116836;11579,2697934223;11564,5144701119;12353,6614232829;12218,3135629014;12386,8373508321;12128,4210487456;12123,0506425029;12129,0600362306;12150,0516305653;12450,7196459447;12421,6660517961;12536,075606603;12186,4254218931;12340,2616298275;12181,6943315224;11980,2496194443;12180,5596231539;12239,2096298059;11897,769308347;11793,5508887799;11894,3512211088;11750,1552888046
CHL;Chile;23438,1536199235;23918,6492507812;24932,5499909277;25601,0056331381;26525,9435472405;27297,5745195393;28471,3453977903;29220,0544537678;28924,785100255;29619,6502233911;30347,1858659246;27299,5313191963;27762,2635867753;28235,7202533335;29619,0443874658;29659,1305354514;29888,9057678512;30423,978952152;31233,1723026257;31148,7348480787;30230,8007869881;33412,5790166739;34471,1363752329;31859,4634569081;32116,6483802701;32221,0108458156;33721,7483960229;35481,4099550354;36927,6883931454
