GHG emissions from food systems (each GHG is expressed in kt CO2eq, GWP-100 AR5) by sector and country, including LULUC which is reported separately.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference dataset: EDGAR-FOODv6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country_code_A3;Name;C_group_IM24_sh;dev_country;Substance;FOOD_system_stage;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
BFA;Burkina Faso;08:_Western_Africa;D;GWP_100_CO2;LULUC (Production);7724,64;7724,64;7724,64;7724,64;7724,64;7724,64;7724,64;7724,64;7724,64;7724,64;7724,64;7318,08;7318,08;7318,08;7318,08;7318,08;7318,08;7318,08;7318,08;7318,08;7318,08;6507,3067;6507,3067;6507,3067;6507,3067;6507,3067;6504,96;6504,96;6504,96
BFA;Burkina Faso;08:_Western_Africa;D;GWP_100_CH4;LULUC (Production);132,6668;132,6668;132,6668;132,6668;132,6668;132,6668;117,7876;110,7372;359,5844;294,448;178,5952;0;0,0588;0;0;0;0;0,0588;0;0,0588;0;0;0;0;0;0;0;0;0
BFA;Burkina Faso;08:_Western_Africa;D;GWP_100_N2O;LULUC (Production);36,941;36,941;36,941;36,941;36,941;36,941;32,7805;30,8195;100,0905;81,9645;49,714;0;0,053;0;0;0;0;0,053;0;0,053;0;0;0;0;0;0;0;0;0
BGD;Bangladesh;18:_India +;D;GWP_100_CO2;LULUC (Production);22607,9877;22607,9877;22607,9877;22607,9877;22607,9877;22645,5626;22644,5274;22629,4425;22517,2674;22349,6698;22222,07;22664,6857;22598,2353;22579,6088;22458,6761;22454,5363;22458,2863;22491,496;22477,6148;22487,2652;22505,1014;24774,5692;24768,0584;24719,525;24650,3388;24638,4502;21746,8983;21750,4549;21736,09
BGD;Bangladesh;18:_India +;D;GWP_100_N2O;LULUC (Production);2342,229;2342,229;2342,229;2342,229;2342,229;2344,2695;2326,753;2325,5605;2309,5015;2300,624;2277,9665;2342,229;2252,7385;2276,933;2249,426;2270,5995;2409,9895;2266,863;2308,3355;2327,1505;2256,0245;2249,3995;2262,517;2345,674;2319,386;2234,8775;2227,9345;2223,35;2241,105
BGD;Bangladesh;18:_India +;D;GWP_100_CH4;LULUC (Production);55,4232;55,4232;55,4232;55,4232;55,4232;55,4232;77,5544;80,2676;61,824;93,6908;57,4336;97,93;1,7444;32,4688;13,2104;37,8224;198,4836;28,0476;77,6832;98,2212;13,8516;17,5168;33,4012;135,5228;113,4728;17,0492;7,2156;1,512;22,8088
BGR;Bulgaria;12:_Central Europe;I;GWP_100_CO2;LULUC (Production);3533,3243;3533,3243;3533,3243;3533,3243;3533,2208;3536,797;3534,7097;3532,7078;3530,5717;3527,8471;3526,5759;4674,4965;4673,1915;4671,8782;4669,9512;4668,2929;4667,6907;4665,0053;4662,4888;4660,6691;4658,5001;1184,3941;1182,9266;1181,002;1178,4129;1177,0785;4424,2157;4423,5672;4420,4371
BGR;Bulgaria;12:_Central Europe;I;GWP_100_N2O;LULUC (Production);133,189;133,189;133,189;133,189;133,189;133,56;133,3215;133,083;132,871;132,5265;132,394;132,1555;131,97;131,758;131,5195;131,334;131,2545;130,91;130,6185;130,433;130,168;130,0355;129,8765;129,6645;129,3995;129,2405;129,161;129,0815;128,737
BHS;Bahamas;04:_Rest Central America;D;GWP_100_CH4;LULUC (Production);17,6092;17,6092;17,6092;17,6092;17,6092;17,6092;37,3296;44,1028;45,0716;34,4372;35,1204;6,5772;7,2184;2,3296;16,128;11,2952;10,0716;2,3296;22,9404;11,2364;6,4624;23,7552;3,9592;30,3912;4,9476;4,774;14,7868;36,1564;3,4944
BHS;Bahamas;04:_Rest Central America;D;GWP_100_N2O;LULUC (Production);10,441;10,441;10,441;10,441;10,441;10,441;10,388;12,2695;12,5345;9,593;9,7785;5,6975;6,2275;2,014;13,939;9,752;8,692;2,014;19,822;9,699;5,5915;20,5375;3,4185;26,2615;4,2665;4,134;12,773;31,2435;3,021
BIH;Bosnia and Herzegovina;12:_Central Europe;I;GWP_100_CO2;LULUC (Production);0;0;54,5062;54,5062;54,5062;53,8627;52,5755;52,5755;53,0619;51,7998;51,7998;51,7998;51,7998;52,2858;52,2858;52,2858;52,2858;52,2858;52,2858;51,6426;51,6426;51,6426;51,6426;51,156;49,9136;49,9136;49,9136;49,9136;49,9136
BIH;Bosnia and Herzegovina;12:_Central Europe;I;GWP_100_N2O;LULUC (Production);0;0;15,529;15,529;15,529;15,476;15,3435;15,3435;15,476;15,4495;15,4495;15,4495;15,4495;15,582;15,582;15,582;15,582;15,582;15,582;15,529;15,529;15,529;15,529;15,3965;14,84;14,84;14,84;14,84;14,84
BLR;Belarus;14:_Ukraine +;I;GWP_100_CO2;LULUC (Production);0;0;25360,3636;25360,3636;25357,8068;25470,2314;25500,2225;25553,9858;25620,1056;25801,91;25827,9618;22817,2548;22779,4205;22735,7462;22641,9569;22615,7434;22574,2949;22544,8897;22421,7997;22368,8944;22370,0566;25924,5443;25928,184;25934,393;25915,3034;25915,2213;22202,0808;22107,6708;22040,0079
BLR;Belarus;14:_Ukraine +;I;GWP_100_N2O;LULUC (Production);0;0;5010,9115;5010,9115;5010,3815;4989,314;4991,1425;5000,815;5016,238;5052,225;5058,797;5052,8875;5043,6125;5033,5425;5011,892;5004,207;4994,349;4988,2275;4957,2225;4945,483;4946,3575;4959,581;4960,906;4964,669;4965,04;4965,0135;4926,0585;4911,404;4906,687
BLZ;Belize;04:_Rest Central America;D;GWP_100_CO2;LULUC (Production);6564,68;6564,68;6564,68;6564,68;6564,68;6560,2481;6560,2481;6556,625;6556,625;6549,8034;6531,9239;3243,5214;3242,6614;3237,6177;3240,0359;3240,6114;3242,0171;3246,1133;3253,2625;3256,9828;3260,1968;5479,766;5478,5883;5478,1793;5474,959;5474,959;5230,4234;5239,6743;5243,1959
BLZ;Belize;04:_Rest Central America;D;GWP_100_N2O;LULUC (Production);64,395;64,395;64,395;64,395;64,395;63,8385;51,516;45,1295;62,8845;49,1575;55,968;46,004;58,4325;133,03;30,0775;66,0645;39,326;79,447;54,4045;43,195;54,2455;181,7105;38,6105;81,6465;39,538;54,4575;51,9665;73,14;46,9315
BLZ;Belize;04:_Rest Central America;D;GWP_100_CH4;LULUC (Production);44,8644;44,8644;44,8644;44,8644;44,8644;44,8644;63,2128;42,1764;105,924;59,4104;92,1508;18,7208;33,3144;120,4672;0,9296;42,154;10,9312;56,28;25,6984;11,3372;23,548;170,4808;4,8832;54,712;6,5716;23,8392;19,9444;42,6776;11,5108
BOL;Bolivia (Plurinational State of);06:_Rest South America;D;GWP_100_CO2;LULUC (Production);76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;76739,2436;57318,9267;57318,9267;57318,9267;57318,9267;57318,9267;57318,9267;57318,9267;57318,9267;57318,9267;57318,9267;60163,6302;60163,6302;60163,6302;60163,6302;60163,6302;67700,9512;67700,9512;67700,9512
