Country_code_A3;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
BHS;0,122016868722574;0,126571468564545;0,139868309262268;0,140099526442554;0,13699455434354;0,130741773469662;0,129534805131497;0,140053930191108;0,158666765094348;0,188573501847975;0,181189990326396;0,178720730096941;0,174800367802025;0,188587232641235;0,189814630548741;0,194135568043069;0,182023155187028;0,176255671449077;0,188723911717303;0,193695686342038;0,181695668206029;0,201903519128691;0,18371676206078;0,190105332066872;0,186452770846823;0,189267181931123;0,200679775466641;0,240002572959623;0,226221870984956
BIH;0,113309978612156;0,119999329244384;0,120088572214678;0,135529258189305;0,255543390624765;0,229495535785765;0,201569761337535;0,167861516366443;0,162361275369523;0,169385714807924;0,148354982363147;0,170839462060784;0,1654234756904;0,164312806974052;0,166445209661186;0,165001045602686;0,16218539619881;0,154136542709679;0,141381677767011;0,147984460574949;0,145858946830591;0,158458399312863;0,166655016980646;0,173051600566933;0,183563544425718;0,181567882397145;0,156394640130375;0,155408493481093;0,153175591644645
BLR;0,32771673483483;0,331400728795977;0,785311548081819;0,891086120395952;1,0218817078404;1,14094597810847;1,12778153807093;1,11874967757528;1,15523337217099;1,19188044007523;1,25392188029019;1,0322095172195;0,937088393219094;0,983278611984154;0,958968167317853;0,948779192998688;0,902045019314352;0,942601150600222;0,906611496418911;0,936703817277277;0,887167827872087;0,741076463067447;0,721454827684077;0,73003022332658;0,7263813221417;0,7549840077185;0,766046644880242;0,759311979441445;0,728581984079856
BLZ;0,772461697683422;0,76727049302174;0,772486241605918;0,774115595680543;0,775504468809997;0,771525414010574;0,893537196830956;0,902894907373521;0,878988147337985;0,884067384221773;0,889605079418555;0,740559766091706;0,521379195089179;0,519639134553505;0,769422661430817;0,536137962765162;0,61509527650443;0,477804848240626;0,569127865922585;0,703519271063287;0,508219324680978;0,641188730430788;0,878830441710186;0,576117336691019;0,855839920301605;0,716782698119097;0,738369864927451;0,831619610401266;0,750668230630163
BMU;0,094676556613774;0,094647890614209;0,104559496314113;0,0998274517832685;0,102763715692854;0,103639724490591;0,102419143860027;0,106100303047389;0,125458893924396;0,150874755831622;0,147767492559005;0,150659359107411;0,144130485922899;0,142786663335488;0,138429405431644;0,140163315166807;0,132959751391228;0,134267480180412;0,138321144582773;0,136505565638637;0,127705788697087;0,146658720098113;0,146818610708986;0,140980821334009;0,140849210976164;0,142271881233679;0,145881204178112;0,161921321731296;0,162347221566984
BOL;0,868235188521855;0,863553960959939;0,855444047235862;0,846113219312611;0,836398242783109;0,882099717325717;0,891358103176753;0,870642645777699;0,892360756627586;0,90163927948264;0,904080721214632;0,887926754277926;0,881268162589987;0,869423165453611;0,872481033732322;0,857983406247131;0,852210448384209;0,848505952703979;0,833402139308561;0,834312842984973;0,842798453090103;0,822896148470084;0,804703602737791;0,799950271642179;0,787504621974177;0,792640469462811;0,795502232452664;0,78543201309791;0,783602735655254
BRA;1,06095335652532;1,05858055373039;1,05556693264796;1,04985929111342;1,04485501371986;1,03557461104825;1,0262022363589;1,0154507725018;1,00963495639735;1,00577079126941;0,993819471707354;1,06996467983649;1,06902874777079;1,06669571886009;1,05505979551473;1,05322259866239;1,05070118574927;1,04255228775168;1,0341333400692;1,0478002403227;1,02357548452857;1,03398571780756;1,01044415425156;0,996393549099132;0,980110140960664;0,994103803605468;0,860516302679476;0,859636881027794;0,863871408634071
BRB;0,192628779084658;0,189321131003093;0,189421345738277;0,194631069560401;0,20376157412076;0,201939446400663;0,214115206640389;0,194450122487727;0,206949754939278;0,225820567436752;0,215313837027821;0,212352482215604;0,20603329359886;0,198843672638876;0,197144567413397;0,197776220777626;0,192169175871539;0,198983049258607;0,190533081539066;0,18997552258854;0,187147352439272;0,186192682395012;0,19069758802366;0,180875415790706;0,19504770377041;0,190747806260861;0,198754274923853;0,223960289061908;0,226637296933659
BRN;0,249930903710392;0,243976812982587;0,242216810355865;0,237044638645415;0,232488364262563;0,225085276361943;0,207871444037251;0,21549627114922;0,438166204790801;0,211791908394647;0,208901263117391;0,215512993393437;0,212664230757861;0,206787293135861;0,206471350317644;0,212316291130063;0,172606372112345;0,179346997926091;0,169493782166913;0,179741300424465;0,189591227174318;0,139381148225306;0,144949510635287;0,148059085697052;0,157961263635568;0,158393729966796;0,149297248332245;0,141842606510518;0,142681919859821
BTN;-0,151348216385928;-0,15496011416748;-0,146148058724814;-0,143387281482932;-0,142917068310671;-0,164634551094423;-0,164057083848072;-0,163102220976689;-0,161662674678548;-0,171447299655905;-0,158996742484208;-0,144732869270935;-0,143859797542381;-0,144639746632307;-0,145586358500859;-0,174171772875115;-0,17255232075082;-0,178015399756446;-0,153353487344173;-0,174539833577959;-0,181603836981251;0,797237714790577;0,78198276367348;0,852425377129513;0,788221370875;0,696131515245618;0,676370455906297;0,743662585452974;0,655665869228471
BWA;0,475355551582855;0,470940895301273;0,465927521102084;0,464127081925923;0,467289324968282;0,471657907094637;0,451204716771245;0,406345063678179;0,374811756481325;0,42860366813337;0,481653914511163;0,585533789637262;0,26977451410133;0,378555843303142;0,730668086570057;0,420037769511358;0,662845959405734;0,40840562814353;0,702191919203303;0,783685610262768;0,870272813846804;0,784166571243673;0,764856661781983;0,493514746313893;0,72038610536318;0,287197797468365;0,455277825905684;0,429663192070967;0,361414860470656
CAF;0,953801434952301;0,953326277301547;0,95421913962471;0,954260255368042;0,953623180952681;0,953484392938754;0,930101088738807;0,920609231152428;0,899957184540329;0,911206799582353;0,938701873170539;0,962078079441364;0,959298417589918;0,965754775214959;0,960656372345445;0,964145450237472;0,962735647359309;0,962003345148898;0,960203293880552;0,957519255191865;0,958503482323818;0,961505947776521;0,957044546198968;0,957778851757757;0,955339865283959;0,956374358818304;0,946275470392179;0,959424396643795;0,956148663968706
CAN;0,353584193879021;0,357253774315356;0,355155177000611;0,35696024844768;0,348342831268475;0,346725410964205;0,344424093613753;0,347865950682077;0,3069662471476;0,333522343489958;0,338780813068921;0,262677583604191;0,250754982649684;0,246501451798884;0,255925461257145;0,266569028815527;0,266663280049813;0,265660645030229;0,267693995063341;0,279054279106883;0,267443156118784;0,305885307946687;0,298599418883958;0,286926792926296;0,294018709480502;0,285915760087306;0,343830431776626;0,342210995311917;0,353474232166589
CHE;0,235942310364987;0,226539497820414;0,21906415076566;0,228007726349157;0,232384126797505;0,223052039398354;0,218941556213784;0,225118338604243;0,218499175711837;0,232879688833546;0,233906542061337;0,233853643971876;0,236476854436194;0,230673011894009;0,228151360156371;0,225468238900841;0,232634643730608;0,240629949011928;0,235726813928226;0,237320337082386;0,232383471528429;0,247694700699698;0,237139707188194;0,235172450056213;0,253039641892146;0,250537176706026;0,246261441822606;0,252073947583367;0,255970652221546
CHL;0,564206878386139;0,59584169783225;0,586732199607813;0,569226675537172;0,544406510059002;0,507385276166621;0,467837189571966;0,431080680974606;0,423791594194275;0,412898890160325;0,44123128063139;0,564003111163906;0,567086915128679;0,553363324161419;0,523120634457079;0,51631575173542;0,510256519308063;0,454676603263626;0,438752396326895;0,460585836161629;0,436706130339494;0,984034882933405;0,918891069550343;0,809891084624254;0,988238854605152;0,85279951766795;0,509864001528283;0,511326752051432;0,532402264444514
CHN;0,466478914297079;0,453069298041125;0,436919569842773;0,411582855525153;0,400280445781421;0,393879120941394;0,381954946705114;0,381445445773729;0,379982796514238;0,381814051099154;0,343522395065225;0,333486788576644;0,319904351646014;0,291207177566178;0,284469441949431;0,266952564926559;0,252682123100639;0,240592488649545;0,237826565893149;0,230178356290372;0,21111465085601;0,209313777411878;0,205007937171362;0,203368230430509;0,20165045659248;0,203293803012254;0,200989789834985;0,195535281788519;0,19178506336821
CIV;0,935146501935679;0,93341546229398;0,932768765855805;0,930120569514578;0,92447216595206;0,920243886520569;0,905406008666465;0,893735956506706;0,894972343526282;0,873774104736191;0,876590117850581;0,778880763427803;0,773049982178331;0,79156783375096;0,784394017669287;0,77520401228346;0,771588612540379;0,770529558715726;0,760122949144141;0,784827112545462;0,764169413786344;0,757264011637956;0,731358910625176;0,725493723748574;0,720123396439613;0,71073121785148;0,695780624849691;0,702845419831406;0,707322425823346
CMR;0,763147101075237;0,768938797942684;0,776642993709007;0,780961481439689;0,788528809555647;0,785539190864395;0,815505708707784;0,820155136228865;0,820142200251359;0,819963247671461;0,816302814589315;0,787594683303365;0,806102658522945;0,75554407303069;0,779497435470032;0,740113504735324;0,806413624857625;0,766567267300764;0,740220982823148;0,752881557997552;0,784204523673452;0,764599565139222;0,769093688602976;0,697015870963007;0,728760830300067;0,686034642529617;0,684079190736476;0,687350096264251;0,707634722287735
